region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Ionia,,2,2,3,"Attack: The First time I attack strike, swap me with the ally to the right, then Recall it.",You've recalled 6+ units.,"She searched for herself in other people's secrets. Saw herself through the eyes of so many. As she approached the forest, she wondered if it would be just another lens-- or if, just this once, she'd found a mirror.",SIXMOREVODKA,Ahri,05IO004,Quick Attack,,,,Champion,,Unit,TRUE,7,Magic Misadventures,0
Ionia,,3,2,4,"When you Recall an ally, reduce its cost by 1. Attack: Each time I attack strike, swap me with the ally to the right, then Recall it.",,"""I can remember a thousand memories I've never had. From now on, I'll make my own."" - Ahri",SIXMOREVODKA,Ahri,05IO004T2,Quick Attack,Elusive,,,None,,Unit,FALSE,7,Magic Misadventures,1
Ionia,,0,2,0,Recall an ally to give an enemy Vulnerable this round. Create an Ahri in your deck.,,"""Tell me a secret."" - Ahri",Kudos Productions,Ahri's Charm,05IO004T1,Focus,,,Focus,None,,Spell,FALSE,7,Magic Misadventures,
Ionia,,0,2,0,Recall an ally to give an enemy Vulnerable this round.,,"""Tell me a secret."" - Ahri",Kudos Productions,Charm,05IO023,Focus,,,Focus,Common,,Spell,TRUE,7,Magic Misadventures,
Ionia,,4,6,3,Play: Recall a unit.,,Chaos gives claws to the meek. A wolf hounds its prey and is stalled by a felled branch. A hawk dives and tumbles amidst a sudden gale. We are the branch. We are the wind.,Kudos Productions,Wingsinger,05IO020,,,,,Common,,Unit,TRUE,7,Magic Misadventures,
Ionia,,,0,,Recall a unit.,,"The wind moves all, in its own time.",Kudos Productions,Gust,05IO020T1,Skill,,,Skill,None,,Ability,FALSE,7,Magic Misadventures,
Ionia,,3,6,5,"When I'm summoned, draw 2 and give all other allies +1|+1 this round.",,The forest offers its secrets freely...but few bear the courage to ask questions of it.,SIXMOREVODKA,Sai'nen Thousand Tailed,05IO007,,,,,Epic,,Unit,TRUE,7,Magic Misadventures,
Ionia,,,8,,Summon Ephemeral copies of the 3 strongest followers you've Recalled this game.,,Memories have fangs.,Kudos Productions,Children Of The Forest,05IO024,Slow,,,Slow,Epic,,Spell,TRUE,7,Magic Misadventures,
Ionia,,2,1,1,Nexus Strike: Recall me.,,"If one is to venerate the hunt, one must pause to weep for the hunted.",Kudos Productions,The Mourned,05IO026,Elusive,,,,Rare,,Unit,TRUE,7,Magic Misadventures,
Ionia,,3,3,2,"When I'm summoned, give me +1|+0 and Elusive this round.",,"""They say you don't speak to save others from the weight of your knowledge. Hmm... I bet you just got tired of answering questions."" - Ahri",Kudos Productions,Woodland Keeper,05IO001,,,,,Common,,Unit,TRUE,7,Magic Misadventures,
