region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Noxus,,0,0,0,Deal 1 to an ally and an enemy 4 times.,,"""It's not the sharpness of the claws you've got to look out for, it's the appetite of the beast that's grown 'em."" - Basilisk trainer",Kudos Productions,Gouge,03NX016,Skill,NA,NA,,None,,Ability,FALSE,3,Call Of The Mountain,
Bilgewater,,0,0,0,Deal 2 to an ally to deal 2 to the enemy Nexus.,,"""Daub 'em with your blood, and set the sharks loose."" - Jack, the Winner",Kudos Productions,Sleep with the Fishes,03BW006T1,Slow,Fleeting,NA,Slow,None,,Spell,FALSE,3,Call Of The Mountain,
Demacia,,0,0,0,Capture a unit or landmark.,,"""Take back what is ours!"" - Captain Arrika",Kudos Productions,Claim,03DE004T1,Skill,NA,NA,,None,,Ability,FALSE,3,Call Of The Mountain,
Freljord,,0,0,0,Deal 2 to ALL other units.,,The people shall perish.,Kudos Productions,Extinguishing Ray,03FR003T3,Skill,NA,NA,,None,,Ability,FALSE,3,Call Of The Mountain,
Freljord,,0,0,0,Obliterate ALL landmarks.,,The earth shall break.,Kudos Productions,Destructive Ray,03FR003T1,Skill,NA,NA,,None,,Ability,FALSE,3,Call Of The Mountain,
Targon,,1,0,1,,,"""During Targon's first equinox, the people of the mountain attempted their first truce. But as their leaders laid their weapons down, one suddenly cried out in pain! Soldiers drew their spears, and all thoughts of peace were lost. Little did they know the true betrayer was a serpent hidden beneath their feet, forevermore a sign of violent times."" 
- Targonian folk tale",Kudos Productions,The Serpent,03MT034,Challenger,NA,NA,,None,Celestial,Unit,FALSE,3,Call Of The Mountain,
Targon,,0,0,0,Reduce the cost of a card in hand by 1.,,"""Each full moon bathes our world in Her silver glow, revealing paths not yet trod, stories not yet told."" - Lunari Priestess",Kudos Productions,Moonsilver,03MT004,Burst,NA,NA,Burst,None,Celestial,Spell,FALSE,3,Call Of The Mountain,
Targon,,0,0,0,Stun the strongest enemy.,,"""The closer they stretch toward the heavens, the more the sun will burn them."" - Leona
",Kudos Productions,Solar Flare,03MT054T3,Skill,NA,NA,,None,,Ability,FALSE,3,Call Of The Mountain,
Targon,,0,0,0,Stun enemies with 2 or less Power.,,"""Hahahaha, lookit 'em GO!  They're just. So. Fast! Is your head spinning too?!"" - Zoe",Kudos Productions,Mischief,03MT001T1,Skill,NA,NA,,None,,Ability,FALSE,3,Call Of The Mountain,
Targon,,0,0,0,"Stun an enemy. If it's a follower, Stun it again at the next Round Start.",,The Solari did not believe that another light could blind--a lesson the Lunari would readily teach.,Kudos Productions,Sky Charge,03MT220T1,Skill,NA,NA,,Common,,Ability,FALSE,3,Call Of The Mountain,
