"","track_number","track_title","artists","instrumental","lyrics","hotness","Act"
"1",9,"Snakes","PVRIS & MIYAVI","False","Ahh, ahh","False",3
"2",9,"Snakes","PVRIS & MIYAVI","False","Ahh, ahh","False",3
"3",9,"Snakes","PVRIS & MIYAVI","False","","False",3
"4",9,"Snakes","PVRIS & MIYAVI","False","Know you got my blood running","False",3
"5",9,"Snakes","PVRIS & MIYAVI","False","Turn the heat to six hundred","False",3
"6",9,"Snakes","PVRIS & MIYAVI","False","Wish I could knock your skull in","False",3
"7",9,"Snakes","PVRIS & MIYAVI","False","But I'm rising above it","False",3
"8",9,"Snakes","PVRIS & MIYAVI","False","Know you'll crash it and burn it","False",3
"9",9,"Snakes","PVRIS & MIYAVI","False","God knows you didn't earn it","False",3
"10",9,"Snakes","PVRIS & MIYAVI","False","My friend karma's a bitch","False",3
"11",9,"Snakes","PVRIS & MIYAVI","False","She's got some lessons you'll learn 'em","False",3
"12",9,"Snakes","PVRIS & MIYAVI","False","","False",3
"13",9,"Snakes","PVRIS & MIYAVI","False","Now we're enemies","False",3
"14",9,"Snakes","PVRIS & MIYAVI","False","You’re a snake you’re a snake","False",3
"15",9,"Snakes","PVRIS & MIYAVI","False","I can see it in your face","False",3
"16",9,"Snakes","PVRIS & MIYAVI","False","","False",3
"17",9,"Snakes","PVRIS & MIYAVI","False","Ahh, do you feel no shame?","False",3
"18",9,"Snakes","PVRIS & MIYAVI","False","Ahh, can't you see my rage?","False",3
"19",9,"Snakes","PVRIS & MIYAVI","False","You're a snake you're a snake, just like a spitting image","False",3
"20",9,"Snakes","PVRIS & MIYAVI","False","Fate, how's it taste? It's your own medicine","False",3
"21",9,"Snakes","PVRIS & MIYAVI","False","Make no mistakes, got 2020 vision","False",3
"22",9,"Snakes","PVRIS & MIYAVI","False","If I see your face, don't think I'm forgiving","False",3
"23",9,"Snakes","PVRIS & MIYAVI","False","It's time we had a discussion","False",3
"24",9,"Snakes","PVRIS & MIYAVI","False","'Bout your sorry production","False",3
"25",9,"Snakes","PVRIS & MIYAVI","False","Mask your shade and corruption","False",3
"26",9,"Snakes","PVRIS & MIYAVI","False","Grinning teeth lack seduction","False",3
"27",9,"Snakes","PVRIS & MIYAVI","False","Know the crime you committеd","False",3
"28",9,"Snakes","PVRIS & MIYAVI","False","I forget not forgive it","False",3
"29",9,"Snakes","PVRIS & MIYAVI","False","Don't you dare gеt it twisted","False",3
"30",9,"Snakes","PVRIS & MIYAVI","False","I'm nice but I can get wicked","False",3
"31",9,"Snakes","PVRIS & MIYAVI","False","","False",3
"32",9,"Snakes","PVRIS & MIYAVI","False","Now we're enemies","False",3
"33",9,"Snakes","PVRIS & MIYAVI","False","","False",3
"34",9,"Snakes","PVRIS & MIYAVI","False","Ahh, do you feel no shame?","False",3
"35",9,"Snakes","PVRIS & MIYAVI","False","Ahh, can't you see my rage?","False",3
"36",9,"Snakes","PVRIS & MIYAVI","False","You're a snake you're a snake, just like a spitting image","False",3
"37",9,"Snakes","PVRIS & MIYAVI","False","Fate, how's it taste? It's your own medicine","False",3
"38",9,"Snakes","PVRIS & MIYAVI","False","Make no mistakes, got 2020 vision","False",3
"39",9,"Snakes","PVRIS & MIYAVI","False","If I see your face, don't think I'm forgiving","False",3
"40",9,"Snakes","PVRIS & MIYAVI","False","","False",3
"41",9,"Snakes","PVRIS & MIYAVI","False","","False",3
"42",9,"Snakes","PVRIS & MIYAVI","False","You're a snake you're a snake","False",3
"43",9,"Snakes","PVRIS & MIYAVI","False","I can see it in your face","False",3
"44",9,"Snakes","PVRIS & MIYAVI","False","(You're a snake you're a snake","False",3
"45",9,"Snakes","PVRIS & MIYAVI","False","I can see it in your face)","False",3
"46",9,"Snakes","PVRIS & MIYAVI","False","You're a snake you're a snake","False",3
"47",9,"Snakes","PVRIS & MIYAVI","False","I can see it in your face","False",3
"48",9,"Snakes","PVRIS & MIYAVI","False","You're a snake you're a snake","False",3
"49",9,"Snakes","PVRIS & MIYAVI","False","I can see it in your face (Ahh)","False",3
"50",9,"Snakes","PVRIS & MIYAVI","False","You're a snake you're a snake","False",3
"51",9,"Snakes","PVRIS & MIYAVI","False","I can see it in your face (Ahh, ahh)","False",3
"52",9,"Snakes","PVRIS & MIYAVI","False","Ahh, ahhEmbedShare URLCopyEmbedCopy","False",3
