"","track_number","track_title","artists","instrumental","lyrics","hotness","Act"
"1",11,"What Could Have Been","Sting","False","I am the monster you created","False",3
"2",11,"What Could Have Been","Sting","False","You ripped out all my parts","False",3
"3",11,"What Could Have Been","Sting","False","And worst of all, for me to live, I gotta kill the part of me that saw","False",3
"4",11,"What Could Have Been","Sting","False","And I needed you more","False",3
"5",11,"What Could Have Been","Sting","False","","False",3
"6",11,"What Could Have Been","Sting","False","I hope you know we had everything","False",3
"7",11,"What Could Have Been","Sting","False","When you broke me and left these pieces","False",3
"8",11,"What Could Have Been","Sting","False","I want you to hurt like you hurt me today and","False",3
"9",11,"What Could Have Been","Sting","False","I want you to lose like I lose when I play ""What Could Have Been""","False",3
"10",11,"What Could Have Been","Sting","False","Oh, ""What Could Have Been""","False",3
"11",11,"What Could Have Been","Sting","False","","False",3
"12",11,"What Could Have Been","Sting","False","Why don't you love who I am?","False",3
"13",11,"What Could Have Been","Sting","False","What we could have been","False",3
"14",11,"What Could Have Been","Sting","False","","False",3
"15",11,"What Could Have Been","Sting","False","I am your ghost, a fallen angel","False",3
"16",11,"What Could Have Been","Sting","False","You ripped out all my parts","False",3
"17",11,"What Could Have Been","Sting","False","I couldn't care what invention you made me","False",3
"18",11,"What Could Have Been","Sting","False","'Cause I, I was meant to be yours","False",3
"19",11,"What Could Have Been","Sting","False","","False",3
"20",11,"What Could Have Been","Sting","False","","False",3
"21",11,"What Could Have Been","Sting","False","I hope you know we had everything","False",3
"22",11,"What Could Have Been","Sting","False","When you broke me and left these pieces","False",3
"23",11,"What Could Have Been","Sting","False","I want you to hurt like you hurt me today and","False",3
"24",11,"What Could Have Been","Sting","False","I want you to lose like I lose when I play—","False",3
"25",11,"What Could Have Been","Sting","False","I want you to hurt like you hurt me today and","False",3
"26",11,"What Could Have Been","Sting","False","I want you to lose like I lose when I play ""What Could Have Been""EmbedShare URLCopyEmbedCopy","False",3
