"","track_number","track_title","artists","instrumental","lyrics","hotness","Act"
"1",1,"Playground","Bea Miller","False","Who told you what was down here?","False",1
"2",1,"Playground","Bea Miller","False","Come along if you wanted a peek","False",1
"3",1,"Playground","Bea Miller","False","I've seen your face around here","False",1
"4",1,"Playground","Bea Miller","False","Come alone, tell me under the table","False",1
"5",1,"Playground","Bea Miller","False","What do you seek?","False",1
"6",1,"Playground","Bea Miller","False","","False",1
"7",1,"Playground","Bea Miller","False","Welcome to the playground, follow me","False",1
"8",1,"Playground","Bea Miller","False","Tell me your nightmares and fantasies","False",1
"9",1,"Playground","Bea Miller","False","Sink into the wasteland underneath","False",1
"10",1,"Playground","Bea Miller","False","Stay for the night, I'll sell you a dream","False",1
"11",1,"Playground","Bea Miller","False","","False",1
"12",1,"Playground","Bea Miller","False","Oh-oh, woah","False",1
"13",1,"Playground","Bea Miller","False","Welcome to the playground","False",1
"14",1,"Playground","Bea Miller","False","","False",1
"15",1,"Playground","Bea Miller","False","What brings you to the lost and found, dear?","False",1
"16",1,"Playground","Bea Miller","False","Won't you pull up a seat?","False",1
"17",1,"Playground","Bea Miller","False","Everybody got a price 'round here to play","False",1
"18",1,"Playground","Bea Miller","False","Make me an offer, what will it be?","False",1
"19",1,"Playground","Bea Miller","False","Oh, what will it be?","False",1
"20",1,"Playground","Bea Miller","False","","False",1
"21",1,"Playground","Bea Miller","False","Welcome to the playground, follow me","False",1
"22",1,"Playground","Bea Miller","False","Tell me your nightmares and fantasies","False",1
"23",1,"Playground","Bea Miller","False","Sink into the wasteland underneath","False",1
"24",1,"Playground","Bea Miller","False","Stay for the night, I'll sell you a dream","False",1
"25",1,"Playground","Bea Miller","False","Oh-oh, woah","False",1
"26",1,"Playground","Bea Miller","False","Welcome to the playground","False",1
"27",1,"Playground","Bea Miller","False","Oh-oh, woah","False",1
"28",1,"Playground","Bea Miller","False","Welcome to the playground","False",1
"29",1,"Playground","Bea Miller","False","","False",1
"30",1,"Playground","Bea Miller","False","Oh, *vocalizing*","False",1
"31",1,"Playground","Bea Miller","False","Ah, mm","False",1
"32",1,"Playground","Bea Miller","False","Welcome to the playground","False",1
"33",1,"Playground","Bea Miller","False","Ooh-woah","False",1
"34",1,"Playground","Bea Miller","False","Welcome to the playground","False",1
"35",1,"Playground","Bea Miller","False","","False",1
"36",1,"Playground","Bea Miller","False","Welcome to the playground, follow me","False",1
"37",1,"Playground","Bea Miller","False","Tell me your nightmares and fantasies (Tell me your nightmares)","False",1
"38",1,"Playground","Bea Miller","False","Sink into the wasteland underneath","False",1
"39",1,"Playground","Bea Miller","False","Stay for the night, I'll sell you a dream3EmbedShare URLCopyEmbedCopy","False",1
